"","municipio_code","municipio_name","region","long.x","lat.x","order","hole","piece","id","group","state_code","state_name","state_name_official","state_abbr","state_abbr_official","year","pop","pop_male","pop_female","afromexican","indigenous_language","metro_area","long.y","lat.y","Inversión.por.metro.cuadrado","porc_no_entub","due_tot","ind_ce_tot","sin_dre","serv_prom"
"20","10","Álvaro Obregón","09010",-99.19650348,19.33370277,17945,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"21","10","Álvaro Obregón","09010",-99.19637445,19.33340682,17946,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"22","10","Álvaro Obregón","09010",-99.19639098,19.33324166,17947,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"23","10","Álvaro Obregón","09010",-99.19626552,19.33268442,17948,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"24","10","Álvaro Obregón","09010",-99.19575782,19.33194766,17949,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"25","10","Álvaro Obregón","09010",-99.19477718,19.32871971,17950,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"26","10","Álvaro Obregón","09010",-99.19996529,19.31384357,17951,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"27","10","Álvaro Obregón","09010",-99.20114178,19.31203429,17952,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"28","10","Álvaro Obregón","09010",-99.20121843,19.31155098,17953,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"29","10","Álvaro Obregón","09010",-99.20121594,19.31151791,17954,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
